date,Fonds propres,.Capital social,.Résultat de l'exercice,.Réserves et écarts,.Provisions réglementées,Provisions pour risques et charges,Dettes,.Dettes de caractère financier,.Conc. banc. cour. & sold. banc. cr.,.Dettes fourn. et cpt. rattach.,.Dettes fiscales et sociales,.Autres dettes,Comptes de régularisation,Total du passif,year
2021-12-31,135946.0,800.0,13327.0,121531.0,288.0,2759.0,239900.0,6458.0,0.0,184080.0,19485.0,29878.0,0.0,378605.0,2021
2020-12-31,122103.0,800.0,10561.0,110322.0,420.0,3379.0,209057.0,5184.0,0.0,145753.0,19065.0,39056.0,0.0,334539.0,2020
2019-12-31,111691.0,800.0,9387.0,100936.0,569.0,3574.0,181927.0,4334.0,0.0,132045.0,13683.0,31864.0,0.0,297192.0,2019
2018-12-31,170871.0,800.0,18140.0,150936.0,995.0,4452.0,233839.0,4122.0,0.0,184170.0,12898.0,32649.0,2599.0,411761.0,2018
2017-12-31,219151.0,800.0,16050.0,200936.0,1365.0,3717.0,235925.0,6036.0,0.0,173305.0,12843.0,43741.0,0.0,458793.0,2017
2016-12-31,273749.0,800.0,20169.0,250936.0,1845.0,8969.0,228927.0,2824.0,0.0,181047.0,11976.0,33080.0,0.0,511646.0,2016
2015-12-31,277313.0,800.0,23593.0,250933.0,1988.0,16186.0,220876.0,2860.0,0.0,164361.0,14569.0,39086.0,0.0,514375.0,2015
2014-12-31,276478.0,800.0,22852.0,250932.0,1894.0,8790.0,196463.0,2298.0,0.0,148561.0,15048.0,30557.0,0.0,481731.0,2014
2013-12-31,284039.0,800.0,30899.0,250033.0,2307.0,9968.0,206784.0,16804.0,0.0,131627.0,18756.0,39596.0,0.0,500791.0,2013
2012-12-31,286928.0,800.0,33781.0,250002.0,2345.0,11678.0,238887.0,21625.0,0.0,152537.0,23848.0,40878.0,0.0,537494.0,2012
2011-12-31,252977.0,800.0,42458.0,207544.0,2175.0,10728.0,242662.0,821.0,0.0,171550.0,30369.0,39922.0,0.0,506367.0,2011
2010-12-31,210131.0,800.0,34412.0,173132.0,1787.0,14745.0,207120.0,674.0,0.0,127261.0,33759.0,45426.0,0.0,431996.0,2010
2009-12-31,175537.0,800.0,49166.0,123965.0,1605.0,8868.0,204363.0,1944.0,0.0,133931.0,25568.0,42919.0,0.0,388768.0,2009
2008-12-31,126376.0,800.0,37342.0,86623.0,1611.0,10726.0,192300.0,2932.0,0.0,136117.0,21003.0,32249.0,0.0,329402.0,2008
2007-12-31,88561.0,800.0,28702.0,57921.0,1138.0,11659.0,159277.0,0.0,7691.0,105358.0,19246.0,26981.0,0.0,259496.0,2007
